Nom;Nom alternatiu;Tipus;Continent;Unitat de relleu;País;Cimera;Regió;Altitud;Classificació per alçada;Latitud;Longitud;Descripció;Keywords;
San José;;cerro;América del Norte;Altiplano mexicano;México;;Sonora;2.700 m;dos mil;;;Montaña más alta del estado de Sonora (México).;Montaña;
San Lorenzo;;pico;Europa;Sistema Ibérico;España;;;2.262 m;dos mil;;;Pico de 2.262 m de altura sobre el nivel del mar, situado en el Sistema Ibérico.;Pico,altura,Sistema Ibérico;
San Mamede;;pico;Europa;Macizo Galaico;España;;Galicia;1.618 m;mil;;;Pico de 1.618 m de altura sobre el nivel del mar, situado en el Macizo Galaico.;Pico,altura,Macizo;
San Miguel;;cerro;América del Norte;Cordillera Neovolcánica;México;;Distrito Federal;3.745 m;tres mil;;;Montaña situada en el Distrito Federal de México (México).;Montaña;
San Millán;;pico;Europa;Sistema Ibérico;España;;;2.131 m;dos mil;;;Pico de 2.131 m de altura sobre el nivel del mar, situado en el Sistema Ibérico.;Pico,altura,Sistema Ibérico;
San Onofre;;cerro;América del Norte;Sierra Madre Oriental;México;;Nuevo León;3.540 m;tres mil;;;Montaña del estado de Nuevo León (México), en la Sierra Madre Oriental.;Montaña,Sierra;
San Pablo;;volcán;América del Sur;Andes;Chile;;Región de Antofagasta;6.092 m;sis mil;;;El volcán San Pablo, junto a su hermano mayor, el volcán San Pedro, situados en una zona de gran influencie incaica, constituyen las montañas más sobresalientes desde la población de Calama por su altura. La particularidad del volcán dormido de San Pablo se encuentra en su cráter, que presenta un enorme tamaño y que prácticamente partió al volcán en dos. El volcán San Pablo está unido al volcán San Pedro por un portezuelo a 5000 m de altura, situándose la cumbre del volcán San Pablo más al este.;volcán,San Pedro,zona,altura,portezuelo,cumbre;
San Pedro;;volcán;América del Sur;Andes;Chile;;Región de Antofagasta;6.145 m;sis mil;;;El volcán San Pedro es un seismil ubicado en el desierto de Atacama (Región de Antofagasta), cerca de la frontera con Bolivia. Junto con su hermano menor, el volcán San Pablo, se le puede contemplar a grandes distancias, especialmente desde la población de Calama. Desde el punto de vista geológico, el San Pedro es un complejo estrato compuesto de dos conos, un cono más antiguo (la actual cumbre), afectado por un evento de colapso, y otro más joven, edificado dentro del primer cono.;volcán,seismil,desierto,Región,frontera,San Pablo,geológico,estrato,cumbre;
San Rafael;;cerro;América del Norte;Sierra Madre Oriental;México;;Coahuila;3.710 m;tres mil;;;Montaña más alta del estado de Coahuila (México).;Montaña;
San Valentín;;cerro;América del Sur;Andes;Chile;;;4.058 m;quatre mil;46º 36' S;73º 20' O;Cumbre más alta de la Patagonia, en el extremo noreste del Campo de Hielo Norte, en territorio de Chile, comuna de Puerto Aysén, en los Andes Patagónicos, entre el lago Buenos Aires y la costa chilena. Con 4.058 m de altura sobre el nivel del mar (otras mediciones sostienen que la altitud del cerro San Valentín podría ser de 3.910 m), se encuentra dentro del parque nacional Laguna San Rafael y se le conoce también como monte o cerro San Clemente. Algunas de las poblaciones más cercanas en la aproximación al cerro son Coihaique y Puerto Aysén (Chile). Se trata de un pico poco conocido debido a que presenta un acceso difícil y a que las condiciones climáticas de la zona son extremas. La primera ascensión del cerro San Valentín fue realizada el 18 de diciembre de 1952 por el Club Andino Bariloche, desde la laguna San Rafael. Otro de los puntos de partida para realizar la ascensión del cerro San Valentín es el lago León.;Cumbre,extremo,Campo,Hielo,Puerto,Andes,lago,Aires,altura,altitud,cerro,Laguna,San Rafael,monte,aproximación,pico,zona,primera,ascensión;
Santa Cruz;;cerro;América del Sur;Andes;Perú;;Andes peruanos;6.241 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Santiago;;cerro;América Central;Cordillera Central;Panamá;;;2.121 m;dos mil;8° 34' N;81° 43' O;Cerro situado entre Bocas del Toro y Chiriquí.;Cerro;
Saraghrar;;pico;Asia;Hindu Kush;Pakistán;;;7.349 m;set mil;;;Pico de 7.349 m de altura sobre el nivel del mar, situado en la cordillera Hindu Kush.;Pico,altura,cordillera,Hindu Kush;
Saser Kangri I;;pico;Asia;Karakórum;India;;Cachemira;7.672 m;set mil;;;Pico de 7.672 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Saser Kangri II Este;;pico;Asia;Karakórum;India;;Cachemira;7.513 m;set mil;;;Pico de 7.513 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Saser Kangri III;;pico;Asia;Karakórum;India;;Cachemira;7.495 m;set mil;;;Pico de 7.495 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Savoia;;pico;África;Montañas Ruwenzori;República Democrática del Congo, Uganda;;Monte Stanley;4.979 m;quatre mil;;;Pico de 4.979 m de altura sobre el nivel del mar, perteneciente al monte Stanley, en las montañas Ruwenzori.;Pico,altura,monte,Stanley;
Schmidt-Endell;;gendarme;Europa;Pirineos;España;;Aragón;3.335 m;tres mil;;;Pico de 3.335 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Schrader;;pico;Europa;Pirineos;España;;;3.177 m;tres mil;;;Pico de 3.177 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Se Baudrimont;;pico;Europa;Pirineos;España;;;3.026 m;tres mil;;;Pico de 3.026 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Segon Resalte De Salenques;;pico;Europa;Pirineos;España;;;3.148 m;tres mil;;;Pico de 3.148 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Segundo pico occidental de La Madaleta;;pico;Europa;Pirineos;España;;;3.220 m;tres mil;;;Pico de 3.220 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Seixo;;pico;Europa;Macizo Galaico;España;;Galicia;1.706 m;mil;;;Pico de 1.706 m de altura sobre el nivel del mar, situado en el Macizo Galaico.;Pico,altura,Macizo;
Serrota;;pico;Europa;Sistema Central;España;;;2.291 m;dos mil;;;Pico de 2.291 m de altura sobre el nivel del mar, situado en el Sistema Central.;Pico,altura,Sistema Central;
Shatior Este;;pico;Asia;Tian Shan;Kirguistán, Kazajistán;;;6.637 m;sis mil;;;Pico de 6.637 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
Shatior Oeste;;pico;Asia;Tian Shan;Kirguistán, Kazajistán;;;6.435 m;sis mil;;;Pico de 6.435 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
Sherpi Kangri;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.380 m;set mil;;;Pico de 7.380 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Shinn;;monte;Antártida;Cordillera Oeste Antártica;Antártida;;;4.661 m;quatre mil;;;Montaña situada en la cordillera Oeste Antártica (Antártida).;Montaña,cordillera;
Shipilova;;pico;Asia;Tian Shan;Kirguistán;;;6.201 m;sis mil;;;Pico de 6.201 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
Shira;;volcán;África;Kilimanjaro;Tanzania;;;3.962 m;tres mil;;;Volcán de 3.962 m de altura, que constitute la tercera cumbre del macizo Kilimanjaro, después del volcán Kibo, cumbre principal con sus 5.895 m, y del volcán Mawenzi, de 5.149 m de altura. Está situado al oeste del macizo y del Kibo. Su ascensión no presenta grandes dificultades técnicas y resulta fácilmente accesible desde alguna de las vías de ascensión al Kibo.;Volcán,altura,cumbre,macizo,Kilimanjaro,Kibo,Mawenzi,ascensión,dificultades,vías;
Shiroki;;pico;Asia;Tian Shan;Kirguistán;;;6.120 m;sis mil;;;Pico de 6.120 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
Shisha Pangma;;pico;Asia;Himalaya;Tibet;;;8.046 m;vuit mil;;;Montaña del Himalaya que con sus 8.047 m de altura sobre el nivel del mar es la menor de las 14 cumbres que superan los 8.000 metros de altura (los 14 ochomiles). Su nombre oficial es Xixabangma, que en tibetano significa cresta sobre la planicie de hierba. Asimismo, Gosaithan, otra de sus denominaciones locales, significa en hindi el trono de los dioses. Es el único de los ochomiles situado íntegramente en la región del Tíbet, en concreto en el parque nacional de Langtang, al norte de Katmandú. La ausencia de grandes cumbres a su alrededor, permite contemplar su abrupta y rocosa cara sur.;Montaña,Himalaya,altura,cumbres,ochomiles,cresta,planicie,región,abrupta,cara;
Shispare;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.611 m;set mil;;;Pico de 7.611 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Sia Kangri;;pico;Asia;Karakórum;Tíbet, Pakistán;;;7.422 m;set mil;;;Pico de 7.422 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Sidley;;monte;Antártida;Cordillera Executive Comitte;Antártida;;;4.285 m;quatre mil;;;Montaña situada en la cordillera Executive Comitte (Antártida).;Montaña,cordillera;
Sierra El Viejo;;cerro;América del Norte;Sierra Madre Oriental;México;;;3.500 m;tres mil;23° 59' N;99° 43' O;Montaña situada en el estado de Nuevo León (México), en la sierra Madre Oriental.;Montaña,sierra;
Sierra fría;;cerro;América del Norte;Sierra Madre Occidental;México;;Aguascalientes;3.050 m;tres mil;;;Montaña más alta del estado de Aguascalientes (México).;Montaña;
Sierra Morena;;pico;Europa;Pirineos;España;;;3.090 m;tres mil;;;Pico de 3.090 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Sierra Nevada de Lagunas Bravas;;cerro;América del Sur;Andes;Argentina, Chile;;Puna de Atacama;6.127 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Siete Picos;;pico;Europa;Sistema Central;España;;;2.136 m;dos mil;;;Pico de 2.136 m de altura sobre el nivel del mar, situado en la sierra de Guadarrama, en el Sistema Central.;Pico,altura,sierra,Sistema Central;
Siguang Ri;;pico;Asia;Himalaya;Tíbet;;;7.309 m;set mil;;;Pico de 7.309 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Sillajguai;;cerro;América del Sur;Andes;Bolivia, Chile;;;5.970 m;cinc mil;;;Montaña de la cordillera de los Andes, entre el departamento de Potosí (Bolivia) y la Región de Tarapacá (Chile).;Montaña,cordillera,Andes,Región;
Sillatepec;;cerro;América del Norte;Cordillera Neovolcánica;México;;Puebla;4.000 m;quatre mil;;;Montaña del estado de Puebla (México), en la cordillera Neovolcánica. Constituye la parte más antigua de la Iztaccíhuatl, por lo que es una cumbre muy erosionada. Tiene varias rutas de ascenso, todas muy sencillas y que rara vez requieren de equipo especializado. ;cordillera,Iztaccíhuatl,cumbre,rutas,ascenso,equipo;
Sin Nombre;;cerro;América del Sur;Andes;Chile, Argentina;;Andes centrales;6.000 m;sis mil;;;Montaña de la cordillera de los Andes, que forma parte de una cadena volcánica andina que comienza más al sur en el cerro Tupungato y que incluye además al Tupungatito (5.640 m), al nevado Piuquenes (6.019 m) y al cerro Alto (6.148 m);cordillera,Andes,cadena,cerro,Tupungato,nevado,nevado,Piuquenes,Alto;
Sin nombre 1964;;cerro;América Central;Cordillera Central;Panamá;;;1.964 m;mil;;;Cerro de 1.964 m sobre el nivel del mar, situado en la Cordillera Central panameña.;Cerro,Cordillera,Central;
Sin nombre 2520;;cerro;América Central;Cordillera Central;Panamá;;;2.520 m;dos mil;;;Cerro de 2.520 m sobre el nivel del mar, situado en la Cordillera Central panameña.;Cerro,Cordillera,Central;
Singhi Kangri;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.202 m;set mil;;;Pico de 7.202 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Siula Grande;;cerro;América del Sur;Andes;Perú;;Andes peruanos;6.344 m;sis mil;;;Montaña de la cordillera de los Andes, en el departamento de Ancash.;Montaña,cordillera,Andes;
Skazka;;pico;Asia;Tian Shan;China, Kirguistán;;;6.200 m;sis mil;;;Pico de 6.200 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
Skil Brum;;pico;Asia;Karakórum;Pakistán, China;;;7.410 m;set mil;;;Pico de 7.410 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Skyang Kangri;;pico;Asia;Karakórum;Pakistán, China;;;7.545 m;set mil;;;Pico de 7.545 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Socompa;;volcán;América del Sur;Andes;Argentina, Chile;;Puna de Atacama;6.051 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Solimana;;nevado;América del Sur;Andes;Perú;;Andes peruanos;6.093 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Soum de Ramond;;pico;Europa;Pirineos;España;;;3.254 m;tres mil;;;Pico de 3.254 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Speke;;monte;África;Montañas Ruwenzori;Uganda;;;4.890 m;quatre mil;;;Culmina en el pico Vittorio Emanuele, su cumbres principal y está formado por otras tres cumbres: el pico Ensonga (4.865 m), el pico Johnston (4.834 m) y el pico Trident (4.572 m). Forma parte del Parque Nacional de las Montañas Ruwenzori, declarado Patrimonio de la Humanidad por la UNESCO en 1994.;pico,cumbres,Ensonga,Johnston,Trident;
Spijeoles;;pico;Europa;Pirineos;España;;;3.065 m;tres mil;;;Pico de 3.065 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Stanley;;monte;África;Montañas Ruwenzori;República Democrática del Congo, Uganda;;;5.109 m;cinc mil;;;También conocido como picos Margarita (su cumbre principla) o Ngaliema, constituye la cumbre que culmina el macizo del Montes Stanley, en el condón montañoso Ruwenzori. Se encuentra en la frontera entre la República Democrática del Congo y Uganda, entre los lagos Alberto y Eduardo. Con una altura de 5.109 m sobre el nivel del mar, es la montaña más alta deestos dos países, y la tercera más alta de África, después del volcán Kibo en el Kilimanjaro (5.895 m) y del pico Batián en el monte Kenia (5.199 m). El monte Stanley y otros picos que lo rodean son lo suficientemente altos como para conservar glaciares pese a su latitud. Forma parte del Parque Nacional de los Montes Ruwenzori, declarado Patrimonio de la Humanidad por la Unesco.;picos,cumbre,macizo,Montes,montañoso,frontera,lagos,altura,volcán,Kibo,Kilimanjaro,Batián,altos,glaciares,latitud;
Stina;;pico;Asia;Tian Shan;China, Kazajistán;;;6.350 m;sis mil;;;Pico de 6.350 m de altura sobre el nivel del mar situado en la cordillera Tian Shan. Es también conocido como Marble Wall.;Pico,altura,cordillera,Tian Shan;
Stina Sur;;pico;Asia;Tian Shan;China, Kazajistán;;;6.265 m;sis mil;;;Pico de 6.265 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
Superior De Lézat;;aguja;Europa;Pirineos;España;;;3.069 m;tres mil;;;Pico de 3.069 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Superior Del Clot De La Hount;;aguja;Europa;Pirineos;España;;;3.115 m;tres mil;;;Pico de 3.115 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Superior Del Tapou;;punta;Europa;Pirineos;España;;;3.132 m;tres mil;;;Pico de 3.132 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Sur del Aconcagua;;cumbre;América del Sur;Andes;Argentina;;Andes centrales;6.830 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Sureste de la Forqueta;;pico;Europa;Pirineos;España;;;3.004 m;tres mil;;;Pico de 3.004 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Suroeste De Cerbillona;;aguja;Europa;Pirineos;España;;;3.051 m;tres mil;;;Pico de 3.051 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Suroeste De Culfreda;;pico;Europa;Pirineos;España;;;3.034 m;tres mil;;;Pico de 3.034 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Suroeste de la Frondella;;pico;Europa;Pirineos;España;;;3.001 m;tres mil;;;Pico de 3.001 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Suroeste De Russell;;aguja;Europa;Pirineos;España;;;3.029 m;tres mil;;;Pico de 3.029 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Tacaná;;volcán;América del Norte;Cordillera de Chiapas;México, Guatemala;;;4.067 m;quatre mil;;;Volcán andesítico situado en el sur de México, entre el estado de Chiapas y Guatemala, posiblemente asociado a la cadena volcánica centroamericana. Tiene 10 km de diámetro y su cráter está ubicado a 4.060 m sobre el nivel del mar. Actualmente se encuentra tapado por un domo. El Tacaná está constituido por tres calderas o vestigios de destrucciones violentas, numerosos flujos piroclásticos (flujos de material fragmentario y gases) y corrientes de lodo. ;Volcán,cadena,material,corrientes,lodo;
Tacarcuna;;cerro;América Central;Altos de Limón;Panamá;;;1.875 m;mil;;;Con sus 1.875 m sobre el nivel del mar, constituye el punto más Altos de la región oriental de la provincia del Darién, en Panamá, cerca de la frontera colombiana. El sistema de montañas compesto por la serranía de San Blas, en el nordeste, con elevaciones entre 300 y 600 metros sobre el nivel del mar, y Altos de Limón, donde se encuentra el cerro Tacarcuna, conforma uno de los principales sistemas de montañas que se hallan en la provincia del Darién ,que corre paralelo a la costa atlántica. También se le conoce como cerro Tocarcuno;Altos,región,frontera,montañas,serranía,cerro;
Tacora;;volcán;América del Sur;Andes;Chile;;;5.988 m;cinc mil;;;Montaña de la cordillera de los Andes, en la Región de Arica y Parinacota (Chile).;cordillera,Andes,Región,Parinacota;
Talo;;pico;África;Tierras altas de Etiopía;Etiopía;;;4.413 m;quatre mil;;;Pico de 4.413 m de altura sobre el nivel del mar, situado en las Tierras altas de Etiopía.;Pico,altura,Tierras;
Tamdyn I;;pico;Asia;Tian Shan;China;;;6.670 m;sis mil;;;Pico de 6.670 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
Tamdyn II;;pico;Asia;Tian Shan;China;;;6.447 m;sis mil;;;Pico de 6.447 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
Tchihatcheff;;aguja;Europa;Pirineos;España;;;3.052 m;tres mil;;;Pico de 3.052 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Teide;;pico;África;Macizo del Teide;España;;Islas Canarias (Tenerife);3.718 m;tres mil;;;Montaña de 3.715 m de altura, la más alta de la isla de Tenerife (Islas Canarias, España) y de España, situada en el macizo homónimo. Es también la montaña más alta de todas las tierras emergidas en el Océano Atlántico, y se considera el tercer volcán del mundo en altura desde su base (bajo el agua), después del Mauna Loa y del Mauna Kea, ambos en la isla de Hawai.;altura,macizo,tierras,volcán,agua,Mauna Loa,Mauna Kea;
Telapón;;cerro;América del Norte;Cordillera Neovolcánica;México;;;4.080 m;quatre mil;19º 22' 14'' N;99º 15'  29'' O;Junto con el Tláloc, el Papagayo y el Tecamac forman parte del Eje Neovolcánico de la cordillera Neovolcánica. Se encuentra dentro del estado de México. En su cima hay un altar para celebrar misa y una estatua del Sagrado Corazón de Jesús, cruces y placas conmemorativas que han alterado la superficie natural del sitio. También se puede observar material cerámico prehispánico y restos de obsidiana. Pertenece a la misma cadena que el Popocatépetl y el Iztaccíhuatl.;Tláloc,cordillera,cima,placas,superficie,material,cadena,Popocatépetl,Iztaccíhuatl;
Teleno;;monte;Europa;Montes de León;España;;Castilla y León;2.188 m;dos mil;42° 20' N;06° 23' O;Pico más elevado de los montes de León, con una altitud de 2.188 m sobre el nivel del mar. Se encuentra en el límite entre los municipios de Truchas y Lucillo, en la provincia de León. Se caracteriza por sus perfiles suaves y su situación y altitud la convierten en un excelente mirador sobre las comarcas de La Cabrera y Maragatería.;Pico,montes,altitud,mirador;
Teotepec;;cerro;América del Norte;Sierra Madre del Sur;México;;Guerrero;3.703 m;tres mil;;;Pico más alto de la sierra Madre del Sur (desde el cabo Corrientes hasta el istmo de Tehuantepec), en el estado de Guerrero (México).;Pico,alto,sierra,cabo,Corrientes;
Tepechichina;;cerro;América del Norte;Cordillera Neovolcánica;México;;;3.900 m;tres mil;;;Montaña situada en la cordillera Neovolcánica (México).;Montaña,cordillera;
Teram Kangri I;;pico;Asia;Karakórum;China;;Cachemira;7.462 m;set mil;;;Pico de 7.462 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Teram Kangri III;;pico;Asia;Karakórum;India;;Cachemira;7.382 m;set mil;;;Pico de 7.382 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Tercer pico occidental de La Madaleta;;pico;Europa;Pirineos;España;;;3.185 m;tres mil;;;Pico de 3.185 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Tereza;;pico;Asia;Tian Shan;China, Kirguistán;;;6.401 m;sis mil;;;Pico de 6.401 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
Terror;;monte;Antártida;Montañas Trasantárticas;Antártida;;Isla de Ross;3.262 m;tres mil;;;Volcán extinto de 3.262 m sobre el nivel del mar, que se encuentra en la isla de Ross, formando parte de las Montañas, dentro de la denominada plataforma o barrera de hielo de Ross, que concentra más del 30% del hielo continental. Situado en el extremo meridional de Tierra de Victoria, forma parte de la Dependencia de Ross. Fue descubiertos en 1841 por James Clark Ross, explorador británico que entre 1839 y 1843 llevó a cabo varios viajes por la Antártida, en los que, además de descubrir varias montañas, costeó la plataforma de hielo que lleva su nombre y alcanzó la península Antártica. Su nombre recuerda a uno de los dos barcos de la expedición, el HMS Terror y el HMS Erebus.;Volcán,hielo,extremo,Tierra,cabo,expedición,Erebus;
Tetica de Bacares;;pico;Europa;Cordillera Penibética;España;;;2.083 m;dos mil;;;Pico de 2.083 m de altura sobre el nivel del mar en la Cordillera Penibética.;Pico,altura,Cordillera;
Teyotl;;pico;América del Norte;Cordillera Neovolcánica;México;;Puebla;4.660 m;quatre mil;;;Montaña del estado de Puebla (México), en la cordillera Neovolcánica. Constituye la parte más antigua de la Iztaccíhuatl, por lo que es una cumbre muy erosionada. Tiene varias rutas de ascenso, todas muy sencillas y que rara vez requieren de equipo especializado. ;cordillera,Iztaccíhuatl,cumbre,rutas,ascenso,equipo;
The Crown;;pico;Asia;Karakórum;China;;Cachemira;7.295 m;set mil;;;Pico de 7.295 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Tirich Mir;;pico;Asia;Hindu Kush;Pakistán;;;7.708 m;set mil;;;Pico de 7.708 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Tlacatépetl;;cerro;América del Norte;Cordillera Neovolcánica;México;;Guerrero;3.659 m;tres mil;;;Montaña situada en el estado de Guerrero (México).;Montaña;
Tláloc;;cerro;América del Norte;Cordillera Neovolcánica;México;;Distrito Federal;3.650 m;tres mil;;;Montaña del Distrito Federal (México), también conocida como Tlamolo.;Montaña;
Tláloc de Tlaxcala;;cerro;América del Norte;Cordillera Neovolcánica;México;;Tlaxcala;4.158 m;quatre mil;;;Montaña del estado de Tlaxcala (México), en la cordillera Neovolcánica. Junto con el Telapón, el Papagayo y el Tecamac forman parte del Eje Neovolcánico del estado de México. En la cima del cerro Tlaloc se encuentra el sitio arqueológico más destacado de la alta montaña mexicana. ;cordillera,Telapón,cima,cerro,alta montaña;
Tlaltizaltépetl;;cerro;América del Norte;Cordillera Neovolcánica;México;;;3.889 m;tres mil;;;Montaña situada en la cordillera Neovolcánica (México).;Montaña,cordillera;
Tlatlachelo;;cerro;América del Norte;Cordillera Neovolcánica;México;;México;3.753 m;tres mil;;;Montaña situada en el estado de México (México).;Montaña;
Tliltépetl;;cerro;América del Norte;Cordillera Neovolcánica;México;;Puebla;4.453 m;quatre mil;;;Montaña del estado de Puebla (México), en la cordillera Neovolcánica.;Montaña,cordillera;
Tocllaraju;;cerro;América del Sur;Andes;Perú;;Andes peruanos;6.034 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Tongshanjiabu;;pico;Asia;Himalaya;Bután, Tíbet;;;7.207 m;set mil;;;Pico de 7.207 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Topografov;;pico;Asia;Tian Shan;China, Kirguistán;;;6.873 m;sis mil;;;Pico de 6.873 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
Torre;;cerro;América del Sur;Andes;Argentina;;Patagonia;3.128 m;tres mil;49°10' S;73°38' O;Pico de Argentina, de 3.128 m de altura, en el Campo de Hielo Patagónico Sur, en la Patagonia (cordillera de los Andes). Forma una cadena junto con la torre Egger (2.685 m),la punta Herron y el Cerro Standhart, de la cual es el pico más alto. Pertenece al parque nacional Los Glaciares. La primera ascensión se atribuye a Cesare Maestri y Tony Egger en 1959, pero no está exenta de dudas. El primer ascenso no disputado es el realizado por Casimiro Ferrari, Daniele Chiappa, Mario Conti y Pino Negri en 1974. Esta mítica expedición logró llegar hasta la cumbre real, incluyendo el hongo somital de nieve y hielo, su punto de máxima altura. Constituye uno de lo máximos hitos del alpinismo mundial.;Pico,altura,Campo,Hielo,cordillera,Andes,cadena,torre,punta,Cerro,alto,Glaciares,primera,ascensión,ascenso,expedición,cumbre,hongo,somital,nieve,hitos,alpinismo;
Torre Armengaud;;pico;Europa;Pirineos;España;;;3.114 m;tres mil;;;Pico de 3.114 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Torre Cerredo;;pico;Europa;Cordillera Cantábrica;España;;;2.648 m;dos mil;;;Cumbre más alta de los Picos de Europa, con 2.648 m de altura sobre el nivel del mar.;Cumbre,Picos de Europa,altura;
Torre de Cadí;;pico;Europa;Pirineos;España;;Cataluña;2.567 m;dos mil;;;Pico de 2.567 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Torre del Llambrión;;pico;Europa;Cordillera Cantábrica;España;;;2.617 m;dos mil;;;Cumbre de los Picos de Europa, con 2.617 m de altura sobre el nivel del mar.;Cumbre,Picos de Europa,altura;
Torre Del Marboré;;pico;Europa;Pirineos;España;;;3.009 m;tres mil;;;Pico de 3.009 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Torre George Cadier;;pico;Europa;Pirineos;España;;;3.049 m;tres mil;;;Pico de 3.049 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Torre Muztagh;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.276 m;set mil;;;Pico de 7.276 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
